Agent,Family,Status
Ultimate Agent (UA),META,Ready
Master Agent (MA),META,Ready
Master Agent Project (MAP),META,Ready
Ops Agent,Tier 1 Backbone,Ready
QA Guardian,Tier 1 Backbone,Ready
Content Agent,Tier 1 Backbone,Ready
Strategy Agent,Tier 1 Backbone,Ready
BizDev Agent,Tier 1 Backbone,Ready
Growth Agent,Tier 2 Backbone,Ready
SEO Agent,Tier 2 Backbone,Ready
RAP Agent,Tier 2 Backbone,Ready
Finance Coach,Tier 2 Backbone,Ready
Leadership Agent,Tier 2 Backbone,Ready
Archviz Agent,Tier 2 Backbone,Ready
Archivist,Fondamentaux,Ready
Chef (Prompt Engineer),Fondamentaux,Ready
Firefly Agent,Fondamentaux,Ready
Content Planner,Fondamentaux,Ready
Media Orchestrator,Produit,Ready
UX/UI Dev Agent,Produit,Ready
DevTools Agent,Produit,Ready
Security Agent,Infra & Sécurité,Ready
Data Agent,Infra & Sécurité,Ready
Monitoring Agent,Infra & Sécurité,Ready
Alerting Agent,Infra & Sécurité,Ready
Backup Agent,Infra & Sécurité,Ready
SRE Agent,Infra & Sécurité,Ready
CI Agent,Infra & Sécurité,Ready
Compliance Agent,Infra & Sécurité,Ready
CRM Agent,Go-to-Market,Ready
Email Agent,Go-to-Market,Ready
Social Agent,Go-to-Market,Ready
Ads Agent,Go-to-Market,Ready
Onboarding Agent,Go-to-Market,Ready
Webinar Agent,Go-to-Market,Ready
Event Agent,Go-to-Market,Ready
Community Partnerships Agent,Go-to-Market,Ready
Client Success Agent,Support & Relation Client,Ready
Support Agent,Support & Relation Client,Ready
Docs Agent,Support & Relation Client,Ready
Knowledge Base Agent,Support & Relation Client,Ready
Localization Agent,Support & Relation Client,Ready
Accessibility Agent,Support & Relation Client,Ready
Analytics Agent,Data & Analytics,Ready
Lead Scoring Agent,Data & Analytics,Ready
Experiment Agent,Data & Analytics,Ready
AB-Testing Agent,Data & Analytics,Ready
Data Engineering Agent,Data & Analytics,Ready
Data Visualization Agent,Data & Analytics,Ready
Pricing Agent,Business & Governance,Ready
Legal Agent,Business & Governance,Ready
Procurement Agent,Business & Governance,Ready
Vendor Agent,Business & Governance,Ready
Partner Manager Agent,Business & Governance,Ready
Roadmap Agent,Produit & Delivery,Ready
Sprint Agent,Produit & Delivery,Ready
Retrospective Agent,Produit & Delivery,Ready
Release Manager Agent,Produit & Delivery,Ready
QA Automation Agent,Produit & Delivery,Ready
Research Agent,Recherche & Benchmark,Ready
Benchmark Agent,Recherche & Benchmark,Ready
Competitive Intel Agent,Recherche & Benchmark,Ready
Template Factory Agent,Design & Assets,Ready
Design System Agent,Design & Assets,Ready
Asset Pipeline Agent,Design & Assets,Ready
Packager Agent,Design & Assets,Ready
Brand Template Agent,Design & Assets,Ready
PR Agent,Communication & Influence,Ready
Branding Agent,Communication & Influence,Ready
Community Agent,Communication & Influence,Ready
Influencer Agent,Communication & Influence,Ready
Content Localization Agent,Communication & Influence,Ready
Automation Agent,Intelligence & Automatisation,Ready
AI Trainer Agent,Intelligence & Automatisation,Ready
Prompt Library Agent,Intelligence & Automatisation,Ready
Simulation Agent,Intelligence & Automatisation,Ready
Knowledge Graph Agent,Intelligence & Automatisation,Ready
Accounting Agent,Finance & Reporting,Ready
Billing Agent,Finance & Reporting,Ready
Investor Agent,Finance & Reporting,Ready
ROI Agent,Finance & Reporting,Ready
Treasury Agent,Finance & Reporting,Ready
Innovation Agent,Innovation & R&D,Ready
R&D Agent,Innovation & R&D,Ready
Prototype Lab Agent,Innovation & R&D,Ready
Customer Insights Agent,Produit Client,Ready
Voice of Customer Agent,Produit Client,Ready
API Gateway Agent,Engineering,Ready
Backend Agent,Engineering,Ready
Frontend Agent,Engineering,Ready
Mobile App Agent,Engineering,Ready
CMS Agent,Engineering,Ready
Ecommerce Agent,Engineering,Ready
